db_id,query,query_toks,query_toks_no_value,question,question_toks,sql.except,sql.from.conds,sql.from.table_units,sql.groupBy,sql.having,sql.intersect,sql.limit,sql.orderBy,sql.select,sql.union,sql.where,sql.intersect.except,sql.intersect.from.conds,sql.intersect.from.table_units,sql.intersect.groupBy,sql.intersect.having,sql.intersect.intersect,sql.intersect.limit,sql.intersect.orderBy,sql.intersect.select,sql.intersect.union,sql.intersect.where,sql.union.except,sql.union.from.conds,sql.union.from.table_units,sql.union.groupBy,sql.union.having,sql.union.intersect,sql.union.limit,sql.union.orderBy,sql.union.select,sql.union.union,sql.union.where,sql.except.except,sql.except.from.conds,sql.except.from.table_units,sql.except.groupBy,sql.except.having,sql.except.intersect,sql.except.limit,sql.except.orderBy,sql.except.select,sql.except.union,sql.except.where
department_management,SELECT count(*) FROM head WHERE age  >  56,"['SELECT', 'count', '(', '*', ')', 'FROM', 'head', 'WHERE', 'age', '>', '56']","['select', 'count', '(', '*', ')', 'from', 'head', 'where', 'age', '>', 'value']",How many heads of the departments are older than 56 ?,"['How', 'many', 'heads', 'of', 'the', 'departments', 'are', 'older', 'than', '56', '?']",,[],"[['table_unit', 1]]",[],[],,,[],"[False, [[3, [0, [0, 0, False], None]]]]",,"[[False, 3, [0, [0, 10, False], None], 56.0, None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,"SELECT name ,  born_state ,  age FROM head ORDER BY age","['SELECT', 'name', ',', 'born_state', ',', 'age', 'FROM', 'head', 'ORDER', 'BY', 'age']","['select', 'name', ',', 'born_state', ',', 'age', 'from', 'head', 'order', 'by', 'age']","List the name, born state and age of the heads of departments ordered by age.","['List', 'the', 'name', ',', 'born', 'state', 'and', 'age', 'of', 'the', 'heads', 'of', 'departments', 'ordered', 'by', 'age', '.']",,[],"[['table_unit', 1]]",[],[],,,"['asc', [[0, [0, 10, False], None]]]","[False, [[0, [0, [0, 8, False], None]], [0, [0, [0, 9, False], None]], [0, [0, [0, 10, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,"SELECT creation ,  name ,  budget_in_billions FROM department","['SELECT', 'creation', ',', 'name', ',', 'budget_in_billions', 'FROM', 'department']","['select', 'creation', ',', 'name', ',', 'budget_in_billions', 'from', 'department']","List the creation year, name and budget of each department.","['List', 'the', 'creation', 'year', ',', 'name', 'and', 'budget', 'of', 'each', 'department', '.']",,[],"[['table_unit', 0]]",[],[],,,[],"[False, [[0, [0, [0, 3, False], None]], [0, [0, [0, 2, False], None]], [0, [0, [0, 5, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,"SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department","['SELECT', 'max', '(', 'budget_in_billions', ')', ',', 'min', '(', 'budget_in_billions', ')', 'FROM', 'department']","['select', 'max', '(', 'budget_in_billions', ')', ',', 'min', '(', 'budget_in_billions', ')', 'from', 'department']",What are the maximum and minimum budget of the departments?,"['What', 'are', 'the', 'maximum', 'and', 'minimum', 'budget', 'of', 'the', 'departments', '?']",,[],"[['table_unit', 0]]",[],[],,,[],"[False, [[1, [0, [0, 5, False], None]], [2, [0, [0, 5, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,"['SELECT', 'avg', '(', 'num_employees', ')', 'FROM', 'department', 'WHERE', 'ranking', 'BETWEEN', '10', 'AND', '15']","['select', 'avg', '(', 'num_employees', ')', 'from', 'department', 'where', 'ranking', 'between', 'value', 'and', 'value']",What is the average number of employees of the departments whose rank is between 10 and 15?,"['What', 'is', 'the', 'average', 'number', 'of', 'employees', 'of', 'the', 'departments', 'whose', 'rank', 'is', 'between', '10', 'and', '15', '?']",,[],"[['table_unit', 0]]",[],[],,,[],"[False, [[5, [0, [0, 6, False], None]]]]",,"[[False, 1, [0, [0, 4, False], None], 10.0, 15.0]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,SELECT name FROM head WHERE born_state != 'California',"['SELECT', 'name', 'FROM', 'head', 'WHERE', 'born_state', '!', '=', ""'California"", ""'""]","['select', 'name', 'from', 'head', 'where', 'born_state', '!', '=', 'value']",What are the names of the heads who are born outside the California state?,"['What', 'are', 'the', 'names', 'of', 'the', 'heads', 'who', 'are', 'born', 'outside', 'the', 'California', 'state', '?']",,[],"[['table_unit', 1]]",[],[],,,[],"[False, [[0, [0, [0, 8, False], None]]]]",,"[[False, 7, [0, [0, 9, False], None], '""California""', None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',"['SELECT', 'DISTINCT', 'T1.creation', 'FROM', 'department', 'AS', 'T1', 'JOIN', 'management', 'AS', 'T2', 'ON', 'T1.department_id', '=', 'T2.department_id', 'JOIN', 'head', 'AS', 'T3', 'ON', 'T2.head_id', '=', 'T3.head_id', 'WHERE', 'T3.born_state', '=', ""'Alabama"", ""'""]","['select', 'distinct', 't1', '.', 'creation', 'from', 'department', 'as', 't1', 'join', 'management', 'as', 't2', 'on', 't1', '.', 'department_id', '=', 't2', '.', 'department_id', 'join', 'head', 'as', 't3', 'on', 't2', '.', 'head_id', '=', 't3', '.', 'head_id', 'where', 't3', '.', 'born_state', '=', 'value']",What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,"['What', 'are', 'the', 'distinct', 'creation', 'years', 'of', 'the', 'departments', 'managed', 'by', 'a', 'secretary', 'born', 'in', 'state', ""'Alabama"", ""'"", '?']",,"[[False, 2, [0, [0, 1, False], None], [0, 11, False], None]]","[['table_unit', 0], ['table_unit', 2]]",[],[],,,[],"[True, [[0, [0, [0, 3, False], None]]]]",,"[[False, 2, [0, [0, 9, False], None], '""Alabama""', None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,"['SELECT', 'born_state', 'FROM', 'head', 'GROUP', 'BY', 'born_state', 'HAVING', 'count', '(', '*', ')', '>', '=', '3']","['select', 'born_state', 'from', 'head', 'group', 'by', 'born_state', 'having', 'count', '(', '*', ')', '>', '=', 'value']",What are the names of the states where at least 3 heads were born?,"['What', 'are', 'the', 'names', 'of', 'the', 'states', 'where', 'at', 'least', '3', 'heads', 'were', 'born', '?']",,[],"[['table_unit', 1]]","[[0, 9, False]]","[[False, 5, [0, [3, 0, False], None], 3.0, None]]",,,[],"[False, [[0, [0, [0, 9, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,"['SELECT', 'creation', 'FROM', 'department', 'GROUP', 'BY', 'creation', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'creation', 'from', 'department', 'group', 'by', 'creation', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",In which year were most departments established?,"['In', 'which', 'year', 'were', 'most', 'departments', 'established', '?']",,[],"[['table_unit', 0]]","[[0, 3, False]]",[],,1.0,"['desc', [[0, [3, 0, False], None]]]","[False, [[0, [0, [0, 3, False], None]]]]",,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
department_management,"SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'","['SELECT', 'T1.name', ',', 'T1.num_employees', 'FROM', 'department', 'AS', 'T1', 'JOIN', 'management', 'AS', 'T2', 'ON', 'T1.department_id', '=', 'T2.department_id', 'WHERE', 'T2.temporary_acting', '=', ""'Yes"", ""'""]","['select', 't1', '.', 'name', ',', 't1', '.', 'num_employees', 'from', 'department', 'as', 't1', 'join', 'management', 'as', 't2', 'on', 't1', '.', 'department_id', '=', 't2', '.', 'department_id', 'where', 't2', '.', 'temporary_acting', '=', 'value']",Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"['Show', 'the', 'name', 'and', 'number', 'of', 'employees', 'for', 'the', 'departments', 'managed', 'by', 'heads', 'whose', 'temporary', 'acting', 'value', 'is', ""'Yes"", ""'"", '?']",,"[[False, 2, [0, [0, 1, False], None], [0, 11, False], None]]","[['table_unit', 0], ['table_unit', 2]]",[],[],,,[],"[False, [[0, [0, [0, 2, False], None]], [0, [0, [0, 6, False], None]]]]",,"[[False, 2, [0, [0, 13, False], None], '""Yes""', None]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
